University_Name, Country, Target_Major, Focus_Area_Keywords
Wageningen University and Research,Netherlands,Development and Rural Innovation,"Agriculture, Sociology of Development, Food Security, Global South"
University College London (UCL),UK,Education and International Development,"Education Policy, Gender, Social Justice, EdTech"
Harvard University,USA,Master in Public Policy (MPP),"Governance, Economics, International Trade, Leadership"
The London School of Economics (LSE),UK,Public Policy and Administration,"Public Management, Regulation, Policy Analysis, Economics"
Monash University,Australia,Public Health,"Epidemiology, Health Promotion, Global Health, Biostatistics"
University of Melbourne,Australia,Master of Education,"Policy and Politics, Leadership, Curriculum, Digital Learning"
Columbia University,USA,Public Administration (MPA),"Development Practice, Financial Management, International Affairs"
National University of Singapore (NUS),Singapore,Master in Public Policy,"Asian Governance, Economic Policy, Regional Development"
Australian National University (ANU),Australia,Environmental Management and Development,"Sustainability, Resource Management, Climate Change Policy"
University of Edinburgh,UK,Data Science,"Machine Learning, Statistics, Big Data, Computational Policy"
University of Amsterdam,Netherlands,Communication Science,"Digital Media, Public Relations, Political Communication"
Stanford University,USA,Education Data Science,"Learning Analytics, Quantitative Methods, EdTech, Data Mining"
University of Oxford,UK,Public Policy (MPP),"Evidence-based Policy, Ethics, Economics, Strategy"
Technical University of Munich (TUM),Germany,Sustainable Resource Management,"Renewable Energy, Ecology, Waste Management"
University of Sydney,Australia,Global Health,"Infectious Diseases, Health Policy, Tropical Medicine"
University of Queensland,Australia,Development Practice,"Social Planning, Community Development, Poverty Alleviation"
Delft University of Technology (TU Delft),Netherlands,Water Management,"Hydraulic Engineering, Urban Water, Climate Adaptation"
University of Manchester,UK,Development Finance,"Microfinance, Economic Growth, Banking, Sustainable Investment"
King's College London,UK,Public Policy,"Political Economy, Security Studies, Global Affairs"
Cornell University,USA,Applied Economics and Management,"Food Industry, Resource Economics, Development Economics"
Erasmus University Rotterdam,Netherlands,Urban Management and Development,"Urban Planning, Housing, Sustainability, Local Governance"
Imperial College London,UK,Environmental Technology,"Energy Policy, Pollution Management, Business and Environment"
University of Birmingham,UK,International Development,"Governance, Conflict, Poverty Reduction, NGOs"
KTH Royal Institute of Technology,Sweden,Sustainable Technology,"Industrial Ecology, Circular Economy, Green Tech"
University of Cambridge,UK,Education,"Globalisation and International Development, Leadership, Policy"
Johns Hopkins University,USA,Public Health (MPH),"Health Systems, Epidemiology, Global Health Equity"
University of Auckland,New Zealand,Education,"Professional Studies, Māori Education, Literacy"
Australian National University (ANU),Australia,Public Policy,"Social Policy, International Relations, Economics"
University of Warwick,UK,Economics and International Financial Economics,"Macroeconomics, Trade, Econometrics"
University of Leeds,UK,Climate Change and Environmental Policy,"Sustainability, Carbon Management, Policy Making"
Kyoto University,Japan,Environmental Management,"Environmental Governance, Regional Planning, Conservation"
University of Tokyo,Japan,Public Policy (MPP/IP),"Economic Policy, International Affairs, Public Management"
Leiden University,Netherlands,Public Administration,"International Management, Crisis Governance, Public Sector"
Carnegie Mellon University,USA,Data Analytics and Public Policy,"Data Mining, Policy Analysis, Smart Cities"
University of Groningen,Netherlands,Environmental and Infrastructure Planning,"Urban Development, Transport, Sustainability"
University of Bristol,UK,Education (Policy and International Development),"Global Education, Social Justice, Human Rights"
UNSW Sydney,Australia,Public Health,"Primary Health Care, Epidemiology, Policy Analysis"
The University of Sheffield,UK,Information Systems,"Digital Health, Data Management, Information Governance"
University of Copenhagen,Denmark,Global Health,"Epidemiology, Health Systems, Disease Control"
University of Sussex,UK,Development Studies,"Power, Inequality, Social Change, IDS"
Georgia Institute of Technology,USA,Master of Science in Analytics,"Data Science, Business Intelligence, Statistics"
University of Western Australia,Australia,Agricultural Science,"Crop Science, Soil Science, Agribusiness"
Lund University,Sweden,Environmental Management and Policy,"Greening the Economy, Industrial Ecology, Sustainability"
University of Glasgow,UK,Global Economy,"Economic Development, International Finance, Trade"
Utrecht University,Netherlands,Sustainable Development,"Earth System Governance, Energy, Environmental Change"
University of Nottingham,UK,Education,"Leadership, Management, Higher Education"
Sciences Po,France,Master in Public Policy,"Digital Policy, Social Policy, Economic Policy"
Seoul National University,South Korea,Public Administration,"Economic Development, E-Governance, Public Policy"
University of Adelaide,Australia,Public Policy,"Public Sector Management, International Policy, Research"
The University of Manchester,UK,Digital Development,"ICT4D, E-Government, Digital Transformation"
National Cheng Kung University,Taiwan,Environmental Engineering,"Water Treatment, Air Pollution, Sustainable Energy"
Maastricht University,Netherlands,Public Policy and Human Development,"Social Protection, Migration, Governance"
The University of Chicago,USA,Public Policy (MPP),"Quantitative Analysis, Finance, Political Science"
Tsinghua University,China,Public Administration (MPA),"International Development, Chinese Governance, Belt and Road"
Curtin University,Australia,Renewable Energy Systems,"Solar Energy, Grid Integration, Energy Efficiency"
University of Reading,UK,Agriculture and Development,"Smallholder Systems, Rural Change, Extension Services"
Victoria University of Wellington,New Zealand,Environmental Studies,"Biodiversity, Resource Management, Climate Justice"
University of Oslo,Norway,Higher Education,"Policy, Reform, Quality Assurance"
University of Helsinki,Finland,Education,"Teacher Education, Pedagogical Leadership, Learning Sciences"
University of Ottawa,Canada,Public and International Affairs,"Governance, Security, Development"
Stockholm University,Sweden,Environmental Science,"Atmospheric Science, Toxicology, Marine Management"
University of Southern California (USC),USA,Public Administration,"Urban Planning, Non-profit Management, Policy"
Newcastle University,UK,Data Science,"Statistical Modeling, Data Visualization, Cloud Computing"
University of Exeter,UK,Global Sustainability Solutions,"System Thinking, Circular Economy, Climate Action"
Vrije Universiteit Amsterdam,Netherlands,Environment and Resource Management,"Energy, Ecosystem Services, Environmental Economics"
Western Sydney University,Australia,Public Health,"Health Equity, Humanitarian Assistance, Promotion"
University of York,UK,Social Policy,"Social Justice, Welfare, Comparative Policy"
Deakin University,Australia,International Development,"Project Management, Sustainable Cities, Humanitarian Action"
University of Strathclyde,UK,Data Analytics,"Operations Research, Business Analytics, Big Data"
Ghent University,Belgium,Environmental Sanitation,"Waste Treatment, Water Quality, Circular Economy"
University of Antwerp,Belgium,Development Evaluation and Management,"Globalisation, Aid Policy, Institutional Change"
University of Liverpool,UK,Public Health (MPH),"Health Protection, Management, Epidemiology"
Queensland University of Technology (QUT),Australia,Education,"STEM Education, Early Childhood, Leadership"
University of East Anglia (UEA),UK,International Development,"Impact Evaluation, Economics, Agriculture"
Humboldt University of Berlin,Germany,Integrated Natural Resource Management,"Agriculture, Bioeconomy, Sustainability"
University of Bath,UK,Education,"International Education, Globalization, Management"
Erasmus University Rotterdam,Netherlands,Public Administration,"Global Governance, Management, Urban Policy"
University of Twente,Netherlands,Geo-information Science and Earth Observation,"GIS, Remote Sensing, Disaster Management"
Eindhoven University of Technology (TU/e),Netherlands,Sustainable Energy Technology,"Renewable Systems, Smart Grids, Transition"
Nanyang Technological University (NTU),Singapore,Master of Public Administration,"Leadership, Policy Analysis, Governance"
University of Southampton,UK,Data Science,"Data Engineering, Web Science, Machine Learning"
University of Wollongong,Australia,Public Health,"Occupational Health, Epidemiology, Promotion"
Griffith University,Australia,Environmental Science,"Ecology, Conservation, Resource Management"
University of Alberta,Canada,Public Health,"Environmental Health, Epidemiology, Policy"
University of British Columbia (UBC),Canada,Public Policy and Global Affairs,"Sustainability, Asia-Pacific, Governance"
University of Toronto,Canada,Public Policy,"Economic Policy, Social Welfare, Implementation"
McGill University,Canada,Education,"Society and Institutions, Educational Psychology"
University of Michigan,USA,Public Policy,"Economics, Social Policy, Quantitative Methods"
Duke University,USA,International Development Policy,"Economic Development, Environment, Social Policy"
Carnegie Mellon University,USA,Information Technology,"Data Science, Cybersecurity, Management"
University of Portsmouth,UK,Crisis and Disaster Management,"Hazard Mapping, Resilience, Emergency Planning"
University of Essex,UK,Data Science and its Applications,"Sociology, Data Analysis, Machine Learning"
University of Dundee,UK,Sustainability,"Environmental Law, Energy Policy, Global Issues"
Radboud University,Netherlands,Environment and Society Studies,"Sustainability, Spatial Planning, Governance"
Tilburg University,Netherlands,Data Science and Society,"AI, Data Ethics, Business Analytics"
Swinburne University of Technology,Australia,Data Science,"Big Data, Analytics, Software Engineering"
University of Tasmania,Australia,Environmental Management,"Geography, Sustainability, Planning"
Murdoch University,Australia,Sustainable Development,"Renewable Energy, Policy, Urban Planning"
Cardiff University,UK,Data Science and Analytics,"Computational Methods, Statistics, Informatics"
Swansea University,UK,Public Health and Management,"Health Systems, Leadership, Epidemiology"